UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,ISSUE_STATUS,ISSUE_SURVIVED_TIME
802260,zom/Zom-Android,UseSparseArrays,src/info/guardianproject/otr/app/im/app/ImApp.java,Use new android.support.v4.util.LongSparseArray(...) instead for better performance,[592]                               ->[570],bdd638c,more fixes for SQLCipher integration,1372676129,03f5f89,handle errors thrown lower in the stack here,1438256227,6d7b229,awesomeapp grade and package major refactor,1438256513,Customization,0,65580384
802328,zom/Zom-Android,Recycle,src/info/guardianproject/otr/app/im/provider/Imps.java,This Cursor should be freed up after use with #close(),[2360]Cursor cursor = ctx.getContentResolver().query(uri null null null null); ->[2360]Cursor cursor = ctx.getContentResolver().query(uri null null null null);,9cdb5c1,cacheword: lose cacheword and DB keys on signOutAll,1381351440,562bf4a,remove unused SignInHelper block from RouterActivity,1446164165,a94b0dc6,clearing the XMPP account passphrase breaks Zom's working assumptions If the XMPP account password is cleared when the user locks the app... then they will most likely not have that password... and therefore will never be able to use the account again. In Zom... the XMPP account password is auto- generated and stored.,1446164166,Customization,0,64812726
800316,dpadgett/Timer,Recycle,Timer/src/org/dpadgett/timer/AnalogClockWithTimezone.java,This TypedArray should be recycled after use with #recycle(),[79]context.obtainStyledAttributes( ->[79]context.obtainStyledAttributes(,8ffd4a5,Initial add of the world clock. Currently doesn't have a way for you to choose the timezone... also needs a subtext saying the timezone of each clock. Required hacking the digitalclock and reimplementing the analogclock.,1327718576,5282ae9,made final 1.3 apk,1384244958,9a6f6a9,Added .gitignore to the project.,1392316660,Tools,0,64598084
801860,cody82/sigfood,UseValueOf,sigfood-android/src/de/sigfood/HttpMultipartClient.java,Use Integer.valueOf(responseLine[1]) instead,[280]responseCode = new Integer(responseLine[1]); ->[280]responseCode = new Integer(responseLine[1]);,41a0604,add upload progress bar. right now it just displays 100% progress and then blocks?,1336328518,f2aec38,app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml Reduced picture cache lifetime from 7 days to 1 day app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml App now cleans cache in onDestroy,1400239664,7.20E+244,app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml Fixed a bug where switching back and forth between two days would desync date in header and the true menu date app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml A bit of cleaning up in HttpMultipartClient,1400434919,Business,0,64106401
801861,cody82/sigfood,UseValueOf,sigfood-android/src/de/sigfood/HttpMultipartClient.java,Use Integer.valueOf(new Random().nextInt(Integer.MAX_VALUE)) instead,[110]private final String boundary = new Integer( ->[110]private final String boundary = new Integer(,41a0604,add upload progress bar. right now it just displays 100% progress and then blocks?,1336328518,f2aec38,app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml Reduced picture cache lifetime from 7 days to 1 day app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml App now cleans cache in onDestroy,1400239664,7.20E+244,app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml Fixed a bug where switching back and forth between two days would desync date in header and the true menu date app build.gradle gradle gradle.properties gradlew gradlew.bat settings.gradle sigfood.iml A bit of cleaning up in HttpMultipartClient,1400434919,Business,0,64106401
801733,almalence/OpenCamera,HandlerLeak,src/com/almalence/plugins/vf/zoom/ZoomVFPlugin.java,This Handler class should be static or leaks might occur (com.almalence.plugins.vf.zoom.ZoomVFPlugin.MainHandler),[95]                                ->[100],7380258,git code prepared,1381832487,2f25236,Implemented google's advice logic of surfaceView configuring to prevent bug on Android 6. Seems that fix is not work in 100% cases... but issue's frequence is decreased little bit. Minor change in creation of preview buffer,1445859654,68bf96b0,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,1445859660,Photography,0,64027173
800203,saeedzareian/Persianmatthill/darwinwallet,UseSparseArrays,src/com/ndu/mobile/darwinwallet/BillRecognizerActivity.java,Use new SparseIntArray(...) instead for better performance,[170]soundPoolMap = new HashMap<Integer Integer>(); ->[170]soundPoolMap = new HashMap<Integer Integer>();,b36875a,Commited changes (i guess) before the official release. Also... updated the C++ code to work with OpenCV 2.4 (supposedly more efficient),1336239905,75b2f39,Updated Readme,1350052488,5b6972b,added russian translation and belarussian money support,1400008853,Productivity,0,63768948
801787,almalence/OpenCamera,FloatMath,src/com/almalence/opencam/ui/Switch/Switch.java,Use java.lang.Math#ceil instead of android.util.FloatMath#ceil() since it is faster as of API 8,[616]return new StaticLayout(transformed mTextPaint (int) FloatMath.ceil(Layout.getDesiredWidth(transformed ->[616]return new StaticLayout(transformed mTextPaint (int) FloatMath.ceil(Layout.getDesiredWidth(transformed,7380258,git code prepared,1381832487,2bb4eca,Small corrections.,1445508159,b2323240,Partially fixed issue with preview on Android 6 in camera2 mode. Fixed nexus naming in CC. Changed depricated FloatMath to Math.,1445508555,Photography,0,63676068
801789,almalence/OpenCamera,FloatMath,src/com/almalence/plugins/capture/panoramaaugmented/PanoramaAugmentedCapturePlugin.java,Use java.lang.Math#cos instead of android.util.FloatMath#cos() since it is faster as of API 8,[1452]String.valueOf(FloatMath.cos(angleR))); ->[1452]String.valueOf(FloatMath.cos(angleR)));,7380258,git code prepared,1381832487,2bb4eca,Small corrections.,1445508159,b2323240,Partially fixed issue with preview on Android 6 in camera2 mode. Fixed nexus naming in CC. Changed depricated FloatMath to Math.,1445508555,Photography,0,63676068
801790,almalence/OpenCamera,FloatMath,src/com/almalence/plugins/capture/panoramaaugmented/PanoramaAugmentedCapturePlugin.java,Use java.lang.Math#sin instead of android.util.FloatMath#sin() since it is faster as of API 8,[1450]String.valueOf(FloatMath.sin(angleR))); ->[1450]String.valueOf(FloatMath.sin(angleR)));,7380258,git code prepared,1381832487,2bb4eca,Small corrections.,1445508159,b2323240,Partially fixed issue with preview on Android 6 in camera2 mode. Fixed nexus naming in CC. Changed depricated FloatMath to Math.,1445508555,Photography,0,63676068
