UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,ISSUE_STATUS,ISSUE_SURVIVED_TIME,DEDICATED_RESOLUTION,NO_OF_LINES_CHANGED
801857,shlusiak/Freebloks-Android,Recycle,src/de/saschahlusiak/freebloks/game/FreebloksActivity.java,This Parcel should be recycled after use with #recycle(),[523]Parcel p = Parcel.obtain();    ->[523]Parcel p = Parcel.obtain();,f1d48f7,add GameMenu Dialog in FreebloksActivity... skip StartScreenActivity,1360675968,18d59c7,lobby: auto fit colorGrid columns in portrait mode... prettier 2 player 2 color mode,1374582913,ec65540,fix lint warnings,1374584320,Games,0,13908352,1,4
801878,romero4742/AndroidCrazyFlieTwitch,FloatMath,src/com/MobileAnarchy/Android/Widgets/Joystick/JoystickView.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[318]double radial = FloatMath.sqrt((diffX*diffX) + (diffY*diffY)); ->[318]double radial = FloatMath.sqrt((diffX*diffX) + (diffY*diffY));,a826b1c,Send commander command to start the motors and added some project files,1357902069,22f96f6,Fixed issue #14 - Added workaround,1371952273,09236b2,Fixed Lint warnings,1372005968,Entertainment,0,14103899,1,2
801884,chaosbastler/opentraining,UseSparseArrays,src/de/skubware/opentraining/EditWorkoutActivity.java,Use new SparseIntArray(...) instead for better performance,[53]private Map<Integer Integer> columnWidthMap = new HashMap<Integer Integer>(); ->[53]private Map<Integer Integer> columnWidthMap = new HashMap<Integer Integer>();,f88bc5c,First project commit. Finally started a git repo. Licence still missing. Signed-off-by: <Christian Skubich>,1345455343,d26d1d2,Licenses added(GPL 3). Added the license to each source code file. Started to fix some warnings of Lint.,1345457292,7209a7e,Fixed some minor issues shown by Lint. E.g. hardcodes strings... imports... ...,1345467358,Health and Fitness,0,12015,1,6
801935,lordi/tickmate,DrawAllocation,src/de/smasi/tickmate/views/SummaryGraph.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[88]Path p = new Path();            ->[88]Path p = new Path();,ed8bea7,Merge branch 'master' into multiple_ticks,1391547927,e63240d,Upcoming version will be 1.1.0 The minor version will always be increased when there is a DB or API update,1391547985,cb53504,Cleanup and get rid of some deprecation warnings,1391948662,Lifestyle,0,400735,1,28
802013,LukeStonehm/LogicalDefence,ViewHolder,app/src/main/java/za/co/lukestonehm/logicaldefence/FallacyListAdapter.java,Unconditional layout inflation from view adapter: Should use View Holder pattern (use recycled view passed into this method as the second parameter) for smoother scrolling,[46]view = mInflater.inflate(R.layout.list_item null); ->[46]view = mInflater.inflate(R.layout.list_item null);,cda0641,FIXED: #bug causing list items to repeat ADDED: #page 3 & 4,1421595899,1d3772a,CHANGED:  #appeal to authority definition version with wolfgangus - this correction needs to be translated,1426968013,9312039,"FIXED:    #re-use view if already exists, this will increase performance a little",1427043756,Education,0,5447857,1,3
800270,mchow01/FingerDoodle,DrawAllocation,src/edu/cs/tufts/mchow/FingerDoodleView.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[67]Paint backgroundPaint = new Paint(); ->[67]Paint backgroundPaint = new Paint();,9b37ab0,First commit... sad to say,1297656879,6c8c599,Integrated Crashlytics,1361768052,15c6432,Fixed NullPointerException at FingerDoodleView.java line 67 edu.cs.tufts.mchow.FingerDoodleView.onDraw,1363808249,Tools,0,66151370,1,16
800291,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2584]Paint outerLinePaint = new Paint(); { ->[2584]Paint outerLinePaint = new Paint(); {,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800292,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2583]Paint linePaint = new Paint(); ->[2583]Paint linePaint = new Paint();,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800293,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2575]sound.setImage(BitmapFactory.decodeResource(getResources() R.drawable.sound)); ->[2575]sound.setImage(BitmapFactory.decodeResource(getResources() R.drawable.sound));,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800294,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2553]RectF imageRect = new RectF(); ->[2553]RectF imageRect = new RectF();,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
