RepositoryGitHubName,RepositoryShortName,App,Source,Commits,AppFolder,JavaFiles,xmlFiles,Cfiles,Hfiles,PYFiles,JSFiles,LinesOfCodesJava,Contributors,FilteredPerformance,StartTimestamp,EndTimestamp,Install,Category,Release
FieldDB/AndroidFieldDB,AndroidFieldDB,com.github.opensourcefieldlinguistics.fielddb.lessons.georgian,G,508,/,67,44,0,0,0,0,11410,1,0,1313694381,1442156013, 1000-5000 ,Travel & Local,0
shengbinmeng/IPGateway,IPGateway,pku.shengbin.ipgateway,G,17,IPGateway/,4,11,0,0,0,0,655,2,0,1370098215,1418727145, 100-500 ,Tools,0
BennetBartmann/Jinawa,Jinawa,de.bb42.jinawapremium,G,113,/,18,15,0,0,0,0,1768,2,0,1411397854,1428587258, 100-500 ,Business,0
xperia64/timidity-ae,timidity-ae,com.xperia64.timidityae&amp,G,10,/,18,32,214,100,0,0,8948,1,0,1409613055,1449938856, 1000-5000 ,Music and audio,0
shahan312/princess-coloring-book-hd-android,princess-coloring-book-hd-android,com.gpasoftware.princess&amp,G,67,/,5,21,0,0,0,0,854,2,0,1355981574,1412818785, 5000-10000 ,Education,0
johanjusits/LastStraw,LastStraw,johan.laststraw,G,304,app/src/main/,28,76,0,0,0,0,42711,2,0,1415728547,1425746313, 10-50 ,Games,0
thomasbrueggemann/timetracker,timetracker,com.thomasbrueggemann.timetracker,G,11,platforms/android/,91,8,0,0,0,45,21657,1,0,1422640424,1427445652, 10-50 ,Productivity,0
mnishiguchi/MovingEstimator,MovingEstimator,com.mnishiguchi.android.movingestimator,G,95,/,28,57,0,0,0,0,6335,1,0,1417221100,1442770252, 100-500 ,Business,0
billykeyss/TAP,TAP,com.simplexlabs.tapexchange&amp,G,18,app/src/main/,2,11,0,0,0,0,442,2,0,1422719526,1437500651, 10-50 ,Communication,0
ldionmarcil/OSRSHelper,OSRSHelper,com.infonuascape.osrshelper,G,70,app/src/main/,47,39,0,0,0,0,7171,2,0,1410233069,1449328137, 10000-50000 ,Tools,0
ethanthomas/BasicAndroidNetworking,BasicAndroidNetworking,com.developers.obsidian.basicandroidnetworking,G,16,app/src/main/,6,15,0,0,0,0,670,1,0,1418511105,1426986125, 100-500 ,Libraries & Demo,0
YuyaItoh/Piyo_PuzzleGame,Piyo_PuzzleGame,org.digda.kuisap&amp,G,226,/,32,11,0,0,0,0,8138,5,0,1382166979,1419672905, 100-500 ,Games,na
flode/SetAndroidProcessLimit,SetAndroidProcessLimit,com.intangibleobject.securesettings.plugin,G,22,app/src/main/,2,5,0,0,0,0,108,1,0,1407338507,1448104361, 500000-1000000 ,Tools,0
PeterChu2/Trendy,Trendy,com.forchuapps.uofthacks.trendy,G,107,android/Trendy/app/src/main/,10,14,0,0,0,0,1335,1,0,1422682795,1431480098, 100-500 ,Social,5
ramandeep-bakshi/Flash-Torch,Flash-Torch,com.ramandeepbakshi.flashtorch,G,11,/,1,11,0,0,0,0,302,2,0,1405512380,1440225265, 5000-10000 ,Tools,0
loisaidasam/mta-fare-buster-android,mta-fare-buster-android,com.kineticfactory.mtacalc,G,10,app/src/main/,2,8,0,0,0,0,110,1,0,1414155840,1449255544, 1000-5000 ,Travel & Local,2
crysxd/Studiportal-Checker,Studiportal-Checker,de.hfu.funfpunktnull,G,251,Studiportal_Checker/app/src/main/,21,18,0,0,0,0,2420,1,1,1405589619,1434086465, 1000-5000 ,Productivity,16
mchun/HKConverter,HKConverter,com.hkconverter,G,12,HKConverter/,7,12,0,0,0,0,4679,1,0,1412698417,1429680502, 500-1000 ,Tools,0
vishalkuo/dotDash,dotDash,com.vishalkuo.dotDash&amp,G,22,app/src/main/,4,10,0,0,0,0,783,1,0,1419383780,1438551973, 10-50 ,Education,0
mslhii/CPUInfo,CPUInfo,com.kritikalerror.cpuinfo,G,51,/,7,1,0,0,0,0,784,1,0,1420279041,1453710987, 500-1000 ,Tools,0
tvkanters/LarryLongbow,LarryLongbow,com.tvkdevelopment.larrylongbow,G,15,/,4,11,0,0,0,0,556,1,0,1409837246,1432220275, 100-500 ,Books & Reference,0
ilyakogan/cosmic-birthday,cosmic-birthday,com.cosmicbirthday,G,33,app/src/main/,1,11,0,0,0,0,19,1,0,1420832207,1430680801, 50-100 ,Entertainment,1
lindolsang/My-Cashbook,My-Cashbook,kr.lindol.mycashbook,G,32,MyCashbook/app/src/main/,6,8,0,0,0,0,981,1,0,1408889137,1455458226, 500-1000 ,Lifestyle,0
Pulimet/wot-sovetnik,wot-sovetnik,net.alexandroid.games.wot.audiohelper,G,15,/,5,14,0,0,0,0,828,1,0,1411644913,1443543685, 100000-500000 ,Entertainment,0
gerhardol/SwipeStatusBar,SwipeStatusBar,cz.chladek.swipe_status_bar,G,18,app/src/main/,38,29,0,0,0,0,8210,1,0,1417812302,1421096269, 100000-500000 ,Tools,0
PeterChu2/Tweet-Offline,Tweet-Offline,chu.ForCHUApps.tweetoffline,G,98,app/src/main/,20,21,0,0,0,0,2353,1,0,1405869227,1440485685, 100-500 ,Social,3
erichlotto/ShowShow,ShowShow,com.erichlotto.showshow,G,29,/,10,13,0,0,0,0,936,2,0,1417919380,1439324454, 10-50 ,Tools,0
oasis789/Arabic-Almanac,Arabic-Almanac,com.etjaal.arabicalmanac&amp,G,14,/,19,13,0,0,0,0,3352,1,0,1395442678,1419449004, 10000-50000 ,Books & Reference,0
meer07/QiitaReader,QiitaReader,com.meer07.qiitamagazine,G,12,/,40,28,0,0,0,0,9555,2,0,1411985598,1424073160, 50-100 ,News & Magazines,0
wakhub/tinyclock,tinyclock,com.github.wakhub.tinyclock,G,14,app/src/main/,4,7,0,0,0,0,566,1,0,1412862573,1418565516, 1000-5000 ,Customization,4
patcon/writeily,writeily,com.jmartin.writeily,G,34,writeily/src/main/,15,36,0,0,0,0,2178,1,0,1398440381,1418314982, 10000-50000 ,Productivity,3
nciric/NDFilter,NDFilter,org.kaziprst.android.ndfilter,G,18,app/src/main/,2,12,0,0,0,0,150,1,0,1414473604,1418426891, 1000-5000 ,Photography,0
xuyuwei/FX-News,FX-News,com.yuweixu.fxnews,G,15,app/src/main/,21,24,0,0,0,0,2153,2,0,1412183546,1421890598, 100-500 ,Finance,0
mmnormyle/BraggingRights,BraggingRights,io.matthew.braggingrights&amp,G,37,app/src/main/,25,40,0,0,0,0,4059,2,0,1418875116,1454401226, 10-50 ,Productivity,0
kjparkdavid/lolpingchecker,lolpingchecker,com.snowrain.lolpingchecker,G,23,appcompat_v7/,1,171,0,0,0,0,5,1,0,1416696124,1450538227, 5000-10000 ,Entertainment,0
gordontang/Smart-Sleeper,Smart-Sleeper,ca.gordontang.smartsleeper&amp,G,20,app/src/main/,4,12,0,0,0,0,630,1,0,1405228905,1422756495, 50-100 ,Health and Fitness,0
diegoponciano/biblia-ccb,biblia-ccb,com.cubolabs.bibliaofflinearc,G,102,app/src/main/,26,41,0,0,0,0,2523,2,0,1405019799,1451408141, 50000-100000 ,Books & Reference,8
noise-lab/myspeedtest-old,myspeedtest-old,com.num,G,30,client/wheel/,16,4,0,0,0,0,2139,2,0,1406069943,1409935000, 10000-50000 ,Tools,0
